Title,ID,Collection,Medium,Reference-image,Pricing,Dimensions,Size,x,Dimensions,Notes,Extended description
Black Swan,ABS-0001,COLL-0001,,,,,medium,x,71.1×101.6,"A line for this work:
""The shiny sun will bite you easily, the sphere of your shadows has been tasked to enlighten you."" (Wiro)","Black Swan (ABS-0001) – €1111
🔹 Spiritual Awakening & Self-Realization

1111 is a powerful number representing alignment, awakening, and deep transformation.
Often seen as a gateway number, it signals a profound shift in consciousness and an invitation to step into a higher awareness.
It also represents introspection, shadow integration, and new beginnings, making it a symbol of personal and collective evolution."
Black Shiny Sun,ABS-0002,COLL-0001,,,,,,x,71.1×101.6,,
Phoenix Flight,ABS-0003,COLL-0001,,,,,medium,x,45.7×61.0,,
UFOs should look like this,ABS-0004,COLL-0001,,,,,Medium,,71.1×101.6,,
UFO footprint,ABS-0005,COLL-0001,,,,,small,,45.7×61.0,,"555 represents major shifts, freedom, and stepping into the unknown—a perfect reflection of “UFO Footprint”, which symbolizes an alien presence, a trace of the unfamiliar, and a sign of something beyond our current understanding.
This number aligns with movement, transition, and discovery, much like a UFO leaving behind a mark, a signal of something new emerging.
Energetically, 555 is about breaking old patterns and embracing new realities, mirroring the mystery and intrigue of extraterrestrial life and the unknown."
Black Shiny Sun Meets Female Sun,ABS-0006,COLL-0001,,,,,Medium,x,71.1×101.6,,
Where do angels make love?,ABS-0007,COLL-0001,,,,,Small,x,45.7×61.0,,
Heart felt universe,ABS-0008,COLL-0001,,,,,Medium,,101.6×152.4,,
Another scary UFO,ABS-0009,COLL-0001,,,,,Small,,45.7×61.0,,
Arousal,ABS-0010,COLL-0001,,,,,Small,x,45.7×61.0,,
Who looks outside dreams,ABS-0011,COLL-0001,,,,,Medium,x,71.1×101.6,,
Howling Soul,ABS-0012,COLL-0001,,,,,medium,x,71.1×101.6,,
Soul Jungle,ABS-0013,COLL-0001,,,,,Medium or big,x,71.1×101.6,,
Soul forest,ABS-0014,COLL-0001,,,,,Medium or big,x,71.1×101.6,,
Angel footprints,ABS-0015,COLL-0001,,,,,Small,x,45.7×61.0,,
Who looks inside awakes,ABS-0016,COLL-0001,,,,,Medium,x,71.1×101.6,,
Angels Nest After Love,ABS-0017,COLL-0001,,,,,Big,,101.6×152.4,,
"When love finally wakes up
",ABS-0018,COLL-0001,,,,,Big,x,101.6×152.4,,"Sacred price is 3333 and it means:  

Angel number 3333 embodies expansion, creation, and the multiplying force of energy in motion. In numerology, 3 is the number of growth, amplification, and expression. When repeated, it speaks of momentum—something that starts small but builds into something greater, where unity leads to creation. It carries the essence of a force that cannot be contained, something that unfolds and extends beyond itself.  

This piece is part of *Who Looks Inside, Awakes*, a collection that rejects dualism and embraces the raw unity of existence—where erotic energy, struggle, and mystery are all part of the same force. It captures a moment of deep physical connection, where the act of love is not just a meeting but an expansion, a rhythmic build-up of energy that demands release. Bodies merge and press into one another, not in stillness but in movement, in tension, in the pulse of something growing between them.  

The imagery suggests an opening, a widening, an urgency—an invitation into something both physical and primal. The repetition of form mirrors the number’s meaning: the way touch turns into pressure, pressure into need, need into something that cannot be undone. It is the moment where pleasure swells and crests, where arousal reaches beyond itself, where two do not just remain two—but become something more.  

Like all works in this collection, it isn’t just made to be looked at—it’s meant to be felt. The question is, what does it awaken in you?"
Soul limbs,ABS-0019,COLL-0001,,,,,small,,45.7×61.0,,
Come in: The Threshold Awaits.,ABS-0020,COLL-0001,,,,,Big,x,101.6×152.4,,
Lagoon of enlightment,ABS-0021,COLL-0001,,,,,Medium,,71.1×101.6,,
"Once you enter the cave, this you will find",ABS-0022,COLL-0001,,,,,Big,,101.6×152.4,,
,ABS-0024,COLL-000X,,,,,,,,,
You are my Sunshine,ABS-0025,COLL-0001,,,,,,,101.6×152.4,,
,ABS-0026,COLL-000X,,,,,,,,,
,ABS-0027,COLL-0002,,,,,,,,,
,ABS-0031,COLL-000X,,,,,,,,,
,ABS-0028,COLL-000X,,,,,,,,,
,ABS-0029,COLL-000X,,,,,,,,,
,ABS-0030,COLL-000X,,,,,,,,,
,ABS-0032,COLL-000X,,,,,,,,,
,ABS-0033,COLL-000X,,,,,,,,,
,ABS-0034,COLL-000X,,,,,,,,,
,ABS-0035,COLL-000X,,,,,,,,,
,ABS-0036,COLL-000X,,,,,,,,,
,ABS-0037,COLL-000X,,,,,,,,,
,ABS-0038,COLL-000X,,,,,,,,,
,ABS-0039,COLL-000X,,,,,,,,,
,ABS-0040,COLL-000X,,,,,,,,,
,ABS-0041,COLL-000X,,,,,,,,,
,ABS-0053,COLL-000X,,,,,,,,,
,ABS-0042,COLL-000X,,,,,,,,,
,ABS-0043,COLL-000X,,,,,,,,,
,ABS-0044,COLL-000X,,,,,,,,,
,ABS-0045,COLL-000X,,,,,,,,,
,ABS-0046,COLL-000X,,,,,,,,,
,ABS-0047,COLL-000X,,,,,,,,,
,ABS-0048,COLL-000X,,,,,,,,,
,ABS-0049,COLL-000X,,,,,,,,,
,ABS-0050,COLL-000X,,,,,,,,,
,ABS-0051,COLL-000X,,,,,,,,,
,ABS-0052,COLL-000X,,,,,,,,,
,ABS-0053,COLL-000X,,,,,,,,,
,ABS-0054,COLL-000X,,,,,,,,,
,ABS-0055,COLL-000X,,,,,,,,,
,ABS-0056,COLL-000X,,,,,,,,,
,ABS-0057,COLL-000X,,,,,,,,,
,ABS-0058,COLL-000X,,,,,,,,,
,ABS-0059,COLL-000X,,,,,,,,,
